phase,container,cpu_pct,mem_mb
idle,vvc-otelcol,0.00,34.77
idle,vvc-otelcol,0.00,34.77
idle,vvc-otelcol,7.86,37.68
idle,vvc-otelcol,7.86,37.68
idle,vvc-otelcol,0.38,37.68
idle,vvc-otelcol,0.38,37.68
idle,vvc-otelcol,0.40,37.68
idle,vvc-otelcol,0.40,37.68
idle,vvc-otelcol,0.38,37.68
idle,vvc-otelcol,0.38,37.68
idle,vvc-otelcol,0.38,37.68
idle,vvc-otelcol,0.38,37.68
idle,vvc-otelcol,0.82,39.8
idle,vvc-otelcol,0.82,39.8
idle,vvc-otelcol,0.42,39.8
idle,vvc-otelcol,0.42,39.8
idle,vvc-otelcol,0.42,39.8
idle,vvc-otelcol,0.46,39.81
idle,vvc-otelcol,0.46,39.81
load,vvc-otelcol,0.00,40.05
load,vvc-otelcol,0.00,40.05
load,vvc-otelcol,0.58,40.09
load,vvc-otelcol,0.58,40.09
load,vvc-otelcol,0.42,39.97
load,vvc-otelcol,0.42,39.97
load,vvc-otelcol,10.10,40.47
load,vvc-otelcol,10.10,40.47
load,vvc-otelcol,69.66,101.2
load,vvc-otelcol,69.66,101.2
load,vvc-otelcol,69.66,101.2
load,vvc-otelcol,88.61,102.3
load,vvc-otelcol,88.61,102.3
load,vvc-otelcol,10.89,101.3
load,vvc-otelcol,10.89,101.3
load,vvc-otelcol,1.19,101.6
load,vvc-otelcol,1.19,101.6
load,vvc-otelcol,88.85,105.8
load,vvc-otelcol,88.85,105.8
load,vvc-otelcol,52.48,99.94
load,vvc-otelcol,52.48,99.94
load,vvc-otelcol,52.48,99.94
load,vvc-otelcol,1.11,99.57
load,vvc-otelcol,1.11,99.57
load,vvc-otelcol,1.55,99.44
load,vvc-otelcol,1.55,99.44
load,vvc-otelcol,73.69,107.3
load,vvc-otelcol,73.69,107.3
load,vvc-otelcol,73.69,107.3
load,vvc-otelcol,73.69,107.3
load,vvc-otelcol,46.75,107.3
load,vvc-otelcol,46.75,107.3
load,vvc-otelcol,3.74,90.17
load,vvc-otelcol,3.74,90.17
load,vvc-otelcol,3.74,90.17
load,vvc-otelcol,3.74,90.17
load,vvc-otelcol,57.49,109.1
load,vvc-otelcol,57.49,109.1
load,vvc-otelcol,57.49,109.1
load,vvc-otelcol,54.34,109.2
load,vvc-otelcol,54.34,109.2
load,vvc-otelcol,1.18,109.1
load,vvc-otelcol,1.18,109.1
load,vvc-otelcol,24.88,110.9
load,vvc-otelcol,24.88,110.9
load,vvc-otelcol,86.26,111.1
load,vvc-otelcol,86.26,111.1
load,vvc-otelcol,86.26,111.1
load,vvc-otelcol,29.59,106.5
load,vvc-otelcol,29.59,106.5
load,vvc-otelcol,1.53,106.4
load,vvc-otelcol,1.53,106.4
load,vvc-otelcol,1.53,106.4
load,vvc-otelcol,43.05,106.2
load,vvc-otelcol,43.05,106.2
load,vvc-otelcol,93.85,114.9
load,vvc-otelcol,93.85,114.9
load,vvc-otelcol,68.16,111.3
load,vvc-otelcol,68.16,111.3
load,vvc-otelcol,0.96,111.2
load,vvc-otelcol,0.96,111.2
load,vvc-otelcol,0.96,111.2
load,vvc-otelcol,30.13,113.3
load,vvc-otelcol,30.13,113.3
load,vvc-otelcol,90.31,119.7
load,vvc-otelcol,90.31,119.7
load,vvc-otelcol,33.41,114.8
load,vvc-otelcol,33.41,114.8
load,vvc-otelcol,33.41,114.8
load,vvc-otelcol,33.41,114.8
load,vvc-otelcol,6.39,112.8
load,vvc-otelcol,6.39,112.8
load,vvc-otelcol,84.21,117.8
load,vvc-otelcol,84.21,117.8
load,vvc-otelcol,91.91,119.3
load,vvc-otelcol,91.91,119.3
load,vvc-otelcol,91.91,119.3
load,vvc-otelcol,14.60,114.5
load,vvc-otelcol,14.60,114.5
load,vvc-otelcol,16.60,117.5
load,vvc-otelcol,16.60,117.5
load,vvc-otelcol,80.78,120.6
load,vvc-otelcol,80.78,120.6
load,vvc-otelcol,53.88,116
load,vvc-otelcol,53.88,116
load,vvc-otelcol,0.86,116
load,vvc-otelcol,0.86,116
load,vvc-otelcol,7.56,116.6
load,vvc-otelcol,7.56,116.6
load,vvc-otelcol,7.56,116.6
load,vvc-otelcol,73.02,119.5
load,vvc-otelcol,73.02,119.5
load,vvc-otelcol,71.94,116.7
load,vvc-otelcol,71.94,116.7
load,vvc-otelcol,5.56,117.2
load,vvc-otelcol,5.56,117.2
load,vvc-otelcol,15.90,115.6
load,vvc-otelcol,15.90,115.6
load,vvc-otelcol,15.90,115.6
load,vvc-otelcol,64.67,120.8
load,vvc-otelcol,64.67,120.8
load,vvc-otelcol,66.79,116.3
load,vvc-otelcol,66.79,116.3
load,vvc-otelcol,16.41,116.3
load,vvc-otelcol,16.41,116.3
load,vvc-otelcol,6.16,116.9
load,vvc-otelcol,6.16,116.9
load,vvc-otelcol,6.16,116.9
load,vvc-otelcol,61.45,120.6
load,vvc-otelcol,61.45,120.6
load,vvc-otelcol,75.42,115.3
load,vvc-otelcol,75.42,115.3
load,vvc-otelcol,12.23,116
load,vvc-otelcol,12.23,116
load,vvc-otelcol,0.61,115.4
load,vvc-otelcol,0.61,115.4
load,vvc-otelcol,0.61,115.4
