phase,container,cpu_pct,mem_mb
idle,vvc-otelcol,0.00,36.27
idle,vvc-otelcol,0.00,36.27
idle,vvc-otelcol,0.74,36.42
idle,vvc-otelcol,0.74,36.42
idle,vvc-otelcol,0.88,39.18
idle,vvc-otelcol,0.88,39.18
idle,vvc-otelcol,0.48,39.2
idle,vvc-otelcol,0.48,39.2
idle,vvc-otelcol,0.48,39.23
idle,vvc-otelcol,0.48,39.23
idle,vvc-otelcol,0.48,39.23
idle,vvc-otelcol,0.47,39.27
idle,vvc-otelcol,0.47,39.27
idle,vvc-otelcol,0.42,39.54
idle,vvc-otelcol,0.42,39.54
idle,vvc-otelcol,0.42,39.54
idle,vvc-otelcol,2.40,41.62
idle,vvc-otelcol,2.40,41.62
idle,vvc-otelcol,0.47,41.62
load,vvc-otelcol,0.00,41.61
load,vvc-otelcol,0.00,41.61
load,vvc-otelcol,0.82,42.23
load,vvc-otelcol,0.82,42.23
load,vvc-otelcol,0.58,42.36
load,vvc-otelcol,0.58,42.36
load,vvc-otelcol,0.54,42.23
load,vvc-otelcol,0.54,42.23
load,vvc-otelcol,27.40,78.13
load,vvc-otelcol,27.40,78.13
load,vvc-otelcol,27.40,78.13
load,vvc-otelcol,81.81,75.61
load,vvc-otelcol,81.81,75.61
load,vvc-otelcol,40.97,68.89
load,vvc-otelcol,40.97,68.89
load,vvc-otelcol,1.16,68.89
load,vvc-otelcol,1.16,68.89
load,vvc-otelcol,1.16,68.89
load,vvc-otelcol,1.16,68.89
load,vvc-otelcol,--,-- 
load,vvc-otelcol,42.82,74.98
load,vvc-otelcol,42.82,74.98
load,vvc-otelcol,49.91,76.57
load,vvc-otelcol,49.91,76.57
load,vvc-otelcol,44.62,75.37
load,vvc-otelcol,44.62,75.37
load,vvc-otelcol,35.85,79.82
load,vvc-otelcol,35.85,79.82
load,vvc-otelcol,82.46,76.3
load,vvc-otelcol,82.46,76.3
load,vvc-otelcol,82.46,76.3
load,vvc-otelcol,38.75,68.84
load,vvc-otelcol,38.75,68.84
load,vvc-otelcol,1.24,68.84
load,vvc-otelcol,1.24,68.84
load,vvc-otelcol,1.24,68.84
load,vvc-otelcol,42.42,76.77
load,vvc-otelcol,42.42,76.77
load,vvc-otelcol,100.58,76.57
load,vvc-otelcol,100.58,76.57
load,vvc-otelcol,21.39,63.98
load,vvc-otelcol,21.39,63.98
load,vvc-otelcol,1.18,64.23
load,vvc-otelcol,1.18,64.23
load,vvc-otelcol,46.34,82.93
load,vvc-otelcol,46.34,82.93
load,vvc-otelcol,46.34,82.93
load,vvc-otelcol,74.93,75.64
load,vvc-otelcol,74.93,75.64
load,vvc-otelcol,74.93,75.64
load,vvc-otelcol,74.93,75.64
load,vvc-otelcol,--,-- 
load,vvc-otelcol,20.44,70.51
load,vvc-otelcol,20.44,70.51
load,vvc-otelcol,56.99,77.36
load,vvc-otelcol,56.99,77.36
load,vvc-otelcol,78.33,68.27
load,vvc-otelcol,78.33,68.27
load,vvc-otelcol,0.58,67.89
load,vvc-otelcol,0.58,67.89
load,vvc-otelcol,0.58,67.89
load,vvc-otelcol,0.60,67.89
load,vvc-otelcol,0.60,67.89
load,vvc-otelcol,49.67,76.88
load,vvc-otelcol,49.67,76.88
load,vvc-otelcol,84.49,70.3
load,vvc-otelcol,84.49,70.3
load,vvc-otelcol,10.83,62.08
load,vvc-otelcol,10.83,62.08
load,vvc-otelcol,10.83,62.08
load,vvc-otelcol,10.83,62.08
load,vvc-otelcol,2.24,64.93
load,vvc-otelcol,2.24,64.93
load,vvc-otelcol,79.60,74.29
load,vvc-otelcol,79.60,74.29
load,vvc-otelcol,59.08,70.44
load,vvc-otelcol,59.08,70.44
load,vvc-otelcol,0.77,70.5
load,vvc-otelcol,0.77,70.5
load,vvc-otelcol,4.88,72.45
load,vvc-otelcol,4.88,72.45
load,vvc-otelcol,4.88,72.45
load,vvc-otelcol,76.98,75.19
load,vvc-otelcol,76.98,75.19
load,vvc-otelcol,55.46,65.12
load,vvc-otelcol,55.46,65.12
load,vvc-otelcol,0.71,65.24
load,vvc-otelcol,0.71,65.24
load,vvc-otelcol,0.76,65.12
load,vvc-otelcol,0.76,65.12
load,vvc-otelcol,64.02,77.38
load,vvc-otelcol,64.02,77.38
load,vvc-otelcol,64.02,77.38
load,vvc-otelcol,75.61,66.74
load,vvc-otelcol,75.61,66.74
load,vvc-otelcol,12.61,58.48
load,vvc-otelcol,12.61,58.48
load,vvc-otelcol,14.69,70.95
load,vvc-otelcol,14.69,70.95
load,vvc-otelcol,14.69,70.95
load,vvc-otelcol,77.23,76.07
load,vvc-otelcol,77.23,76.07
load,vvc-otelcol,50.88,66.2
load,vvc-otelcol,50.88,66.2
load,vvc-otelcol,0.61,65.95
load,vvc-otelcol,0.61,65.95
load,vvc-otelcol,3.74,65.82
load,vvc-otelcol,3.74,65.82
load,vvc-otelcol,3.74,65.82
load,vvc-otelcol,74.11,79.99
load,vvc-otelcol,74.11,79.99
load,vvc-otelcol,70.47,72.87
load,vvc-otelcol,70.47,72.87
load,vvc-otelcol,10.89,72.55
load,vvc-otelcol,10.89,72.55
load,vvc-otelcol,0.60,72.18
load,vvc-otelcol,0.60,72.18
load,vvc-otelcol,0.60,72.18
