phase,container,cpu_pct,mem_mb
idle,vvc-vector,0.00,145.1
idle,vvc-vector,0.00,145.1
idle,vvc-vector,0.31,144.3
idle,vvc-vector,0.31,144.3
idle,vvc-vector,0.17,144.4
idle,vvc-vector,0.17,144.4
idle,vvc-vector,0.17,144.4
idle,vvc-vector,0.29,147.1
idle,vvc-vector,0.29,147.1
idle,vvc-vector,0.29,147.1
idle,vvc-vector,0.23,147.4
idle,vvc-vector,0.23,147.4
idle,vvc-vector,0.23,147.4
idle,vvc-vector,0.15,146.8
idle,vvc-vector,0.15,146.8
idle,vvc-vector,0.14,146.8
idle,vvc-vector,0.14,146.8
idle,vvc-vector,0.46,149.3
idle,vvc-vector,0.46,149.3
load,vvc-vector,0.00,149.1
load,vvc-vector,0.00,149.1
load,vvc-vector,0.00,149.1
load,vvc-vector,0.92,151.7
load,vvc-vector,0.92,151.7
load,vvc-vector,0.92,151.7
load,vvc-vector,0.31,151.8
load,vvc-vector,0.31,151.8
load,vvc-vector,0.50,151.9
load,vvc-vector,0.50,151.9
load,vvc-vector,0.14,151.7
load,vvc-vector,0.14,151.7
load,vvc-vector,73.21,248.1
load,vvc-vector,73.21,248.1
load,vvc-vector,6.26,252.7
load,vvc-vector,6.26,252.7
load,vvc-vector,6.26,252.7
load,vvc-vector,3.27,252.6
load,vvc-vector,3.27,252.6
load,vvc-vector,3.27,252.6
load,vvc-vector,3.27,252.6
load,vvc-vector,29.40,285.8
load,vvc-vector,29.40,285.8
load,vvc-vector,6.43,286.9
load,vvc-vector,6.43,286.9
load,vvc-vector,0.55,286.9
load,vvc-vector,0.55,286.9
load,vvc-vector,0.17,282.4
load,vvc-vector,0.17,282.4
load,vvc-vector,53.73,311.6
load,vvc-vector,53.73,311.6
load,vvc-vector,53.73,311.6
load,vvc-vector,5.45,308.2
load,vvc-vector,5.45,308.2
load,vvc-vector,0.29,308.3
load,vvc-vector,0.29,308.3
load,vvc-vector,0.41,307.4
load,vvc-vector,0.41,307.4
load,vvc-vector,0.41,307.4
load,vvc-vector,0.41,307.4
load,vvc-vector,38.70,334.4
load,vvc-vector,38.70,334.4
load,vvc-vector,2.83,333.4
load,vvc-vector,2.83,333.4
load,vvc-vector,0.32,333.4
load,vvc-vector,0.32,333.4
load,vvc-vector,0.32,333.4
load,vvc-vector,0.41,334
load,vvc-vector,0.41,334
load,vvc-vector,51.40,353.2
load,vvc-vector,51.40,353.2
load,vvc-vector,1.04,353.1
load,vvc-vector,1.04,353.1
load,vvc-vector,0.24,353.1
load,vvc-vector,0.24,353.1
load,vvc-vector,0.24,353.1
load,vvc-vector,0.45,355.4
load,vvc-vector,0.45,355.4
load,vvc-vector,48.33,371.7
load,vvc-vector,48.33,371.7
load,vvc-vector,2.84,364.1
load,vvc-vector,2.84,364.1
load,vvc-vector,2.84,364.1
load,vvc-vector,2.84,364.1
load,vvc-vector,--,-- 
load,vvc-vector,0.24,363.8
load,vvc-vector,0.24,363.8
load,vvc-vector,56.83,374.4
load,vvc-vector,56.83,374.4
load,vvc-vector,56.83,374.4
load,vvc-vector,0.93,372.7
load,vvc-vector,0.93,372.7
load,vvc-vector,0.31,372.7
load,vvc-vector,0.31,372.7
load,vvc-vector,0.13,372.7
load,vvc-vector,0.13,372.7
load,vvc-vector,0.13,372.7
load,vvc-vector,0.13,372.7
load,vvc-vector,31.55,384.9
load,vvc-vector,31.55,384.9
load,vvc-vector,31.55,384.9
load,vvc-vector,0.61,384.9
load,vvc-vector,0.61,384.9
load,vvc-vector,0.11,384.9
load,vvc-vector,0.11,384.9
load,vvc-vector,43.50,401.7
load,vvc-vector,43.50,401.7
load,vvc-vector,0.90,399.4
load,vvc-vector,0.90,399.4
load,vvc-vector,0.27,399.4
load,vvc-vector,0.27,399.4
load,vvc-vector,0.27,399.4
load,vvc-vector,0.39,393.9
load,vvc-vector,0.39,393.9
load,vvc-vector,40.67,408.9
load,vvc-vector,40.67,408.9
load,vvc-vector,5.84,390.7
load,vvc-vector,5.84,390.7
load,vvc-vector,13.35,401.1
load,vvc-vector,13.35,401.1
load,vvc-vector,3.93,388
load,vvc-vector,3.93,388
load,vvc-vector,3.93,388
load,vvc-vector,21.86,407.3
load,vvc-vector,21.86,407.3
load,vvc-vector,21.86,407.3
load,vvc-vector,0.62,404.6
load,vvc-vector,0.62,404.6
load,vvc-vector,19.30,403.2
load,vvc-vector,19.30,403.2
load,vvc-vector,0.46,399.7
load,vvc-vector,0.46,399.7
load,vvc-vector,26.54,411.3
load,vvc-vector,26.54,411.3
load,vvc-vector,26.54,411.3
load,vvc-vector,0.67,401.9
load,vvc-vector,0.67,401.9
load,vvc-vector,15.26,410.9
load,vvc-vector,15.26,410.9
