phase,container,cpu_pct,mem_mb
idle,vvc-vector,0.00,150.7
idle,vvc-vector,0.00,150.7
idle,vvc-vector,0.62,152.9
idle,vvc-vector,0.62,152.9
idle,vvc-vector,0.43,154.2
idle,vvc-vector,0.43,154.2
idle,vvc-vector,0.19,156.4
idle,vvc-vector,0.19,156.4
idle,vvc-vector,0.12,156.5
idle,vvc-vector,0.12,156.5
idle,vvc-vector,0.12,156.5
idle,vvc-vector,0.18,156.5
idle,vvc-vector,0.18,156.5
idle,vvc-vector,0.10,156.5
idle,vvc-vector,0.10,156.5
idle,vvc-vector,0.43,156.7
load,vvc-vector,0.00,156.7
load,vvc-vector,0.00,156.7
load,vvc-vector,0.38,156.8
load,vvc-vector,0.38,156.8
load,vvc-vector,0.41,159.4
load,vvc-vector,0.41,159.4
load,vvc-vector,0.24,159.6
load,vvc-vector,0.24,159.6
load,vvc-vector,0.15,159.2
load,vvc-vector,0.15,159.2
load,vvc-vector,0.15,159.2
load,vvc-vector,65.54,244.5
load,vvc-vector,65.54,244.5
load,vvc-vector,5.44,245.7
load,vvc-vector,5.44,245.7
load,vvc-vector,0.57,247.9
load,vvc-vector,0.57,247.9
load,vvc-vector,0.57,247.9
load,vvc-vector,0.27,244.4
load,vvc-vector,0.27,244.4
load,vvc-vector,51.35,294.5
load,vvc-vector,51.35,294.5
load,vvc-vector,6.45,289.4
load,vvc-vector,6.45,289.4
load,vvc-vector,0.28,289.4
load,vvc-vector,0.28,289.4
load,vvc-vector,0.28,289.4
load,vvc-vector,0.61,286
load,vvc-vector,0.61,286
load,vvc-vector,52.65,337.8
load,vvc-vector,52.65,337.8
load,vvc-vector,7.73,334.8
load,vvc-vector,7.73,334.8
load,vvc-vector,7.73,334.8
load,vvc-vector,7.73,334.8
load,vvc-vector,0.19,328
load,vvc-vector,0.19,328
load,vvc-vector,0.54,328.6
load,vvc-vector,0.54,328.6
load,vvc-vector,0.54,328.6
load,vvc-vector,49.02,345.6
load,vvc-vector,49.02,345.6
load,vvc-vector,0.80,342.7
load,vvc-vector,0.80,342.7
load,vvc-vector,0.33,341.7
load,vvc-vector,0.33,341.7
load,vvc-vector,0.12,341.7
load,vvc-vector,0.12,341.7
load,vvc-vector,0.12,341.7
load,vvc-vector,0.12,341.7
load,vvc-vector,25.44,355.6
load,vvc-vector,25.44,355.6
load,vvc-vector,0.29,355.5
load,vvc-vector,0.29,355.5
load,vvc-vector,0.29,355.5
load,vvc-vector,0.16,352.6
load,vvc-vector,0.16,352.6
load,vvc-vector,55.68,374.2
load,vvc-vector,55.68,374.2
load,vvc-vector,2.81,366.8
load,vvc-vector,2.81,366.8
load,vvc-vector,0.27,366.8
load,vvc-vector,0.27,366.8
load,vvc-vector,0.14,366.8
load,vvc-vector,0.14,366.8
load,vvc-vector,44.81,387.5
load,vvc-vector,44.81,387.5
load,vvc-vector,44.81,387.5
load,vvc-vector,6.14,369.6
load,vvc-vector,6.14,369.6
load,vvc-vector,0.52,369.7
load,vvc-vector,0.52,369.7
load,vvc-vector,0.52,369.7
load,vvc-vector,0.21,365.4
load,vvc-vector,0.21,365.4
load,vvc-vector,49.66,383.7
load,vvc-vector,49.66,383.7
load,vvc-vector,2.42,382.2
load,vvc-vector,2.42,382.2
load,vvc-vector,0.34,382.5
load,vvc-vector,0.34,382.5
load,vvc-vector,0.34,382.5
load,vvc-vector,0.42,383.1
load,vvc-vector,0.42,383.1
load,vvc-vector,42.70,387.2
load,vvc-vector,42.70,387.2
load,vvc-vector,3.09,380.9
load,vvc-vector,3.09,380.9
load,vvc-vector,0.36,380.7
load,vvc-vector,0.36,380.7
load,vvc-vector,0.11,380.5
load,vvc-vector,0.11,380.5
load,vvc-vector,0.11,380.5
load,vvc-vector,43.56,383.3
load,vvc-vector,43.56,383.3
load,vvc-vector,43.56,383.3
load,vvc-vector,2.07,375.9
load,vvc-vector,2.07,375.9
load,vvc-vector,0.28,375.1
load,vvc-vector,0.28,375.1
load,vvc-vector,0.28,375.1
load,vvc-vector,0.18,367.2
load,vvc-vector,0.18,367.2
load,vvc-vector,46.71,389.5
load,vvc-vector,46.71,389.5
load,vvc-vector,1.09,388.2
load,vvc-vector,1.09,388.2
load,vvc-vector,24.46,396.9
load,vvc-vector,24.46,396.9
load,vvc-vector,0.38,396.9
load,vvc-vector,0.38,396.9
load,vvc-vector,0.38,396.9
load,vvc-vector,40.49,383.8
load,vvc-vector,40.49,383.8
load,vvc-vector,1.45,376.7
load,vvc-vector,1.45,376.7
load,vvc-vector,16.97,376
