phase,container,cpu_pct,mem_mb
idle,vvc-vector,0.00,157.8
idle,vvc-vector,0.00,157.8
idle,vvc-vector,0.19,157.8
idle,vvc-vector,0.19,157.8
idle,vvc-vector,0.32,158.5
idle,vvc-vector,0.32,158.5
idle,vvc-vector,0.08,158.5
idle,vvc-vector,0.08,158.5
idle,vvc-vector,0.12,158.4
idle,vvc-vector,0.12,158.4
idle,vvc-vector,0.12,158.4
idle,vvc-vector,0.12,158.4
idle,vvc-vector,0.12,158.4
idle,vvc-vector,0.15,158.7
idle,vvc-vector,0.15,158.7
idle,vvc-vector,0.35,160.9
idle,vvc-vector,0.35,160.9
idle,vvc-vector,0.14,160.9
load,vvc-vector,0.00,165.1
load,vvc-vector,0.00,165.1
load,vvc-vector,0.28,165.8
load,vvc-vector,0.28,165.8
load,vvc-vector,0.21,165.6
load,vvc-vector,0.21,165.6
load,vvc-vector,0.08,165
load,vvc-vector,0.08,165
load,vvc-vector,21.83,221.3
load,vvc-vector,21.83,221.3
load,vvc-vector,21.83,221.3
load,vvc-vector,6.47,223.9
load,vvc-vector,6.47,223.9
load,vvc-vector,0.43,220.7
load,vvc-vector,0.43,220.7
load,vvc-vector,0.10,220.6
load,vvc-vector,0.10,220.6
load,vvc-vector,18.99,250.2
load,vvc-vector,18.99,250.2
load,vvc-vector,5.78,240
load,vvc-vector,5.78,240
load,vvc-vector,5.78,240
load,vvc-vector,0.29,239.2
load,vvc-vector,0.29,239.2
load,vvc-vector,0.35,230.7
load,vvc-vector,0.35,230.7
load,vvc-vector,15.53,247.6
load,vvc-vector,15.53,247.6
load,vvc-vector,4.28,248.5
load,vvc-vector,4.28,248.5
load,vvc-vector,1.25,238.7
load,vvc-vector,1.25,238.7
load,vvc-vector,1.25,238.7
load,vvc-vector,0.14,233.8
load,vvc-vector,0.14,233.8
load,vvc-vector,16.67,254.7
load,vvc-vector,16.67,254.7
load,vvc-vector,4.19,248.9
load,vvc-vector,4.19,248.9
load,vvc-vector,1.41,248.8
load,vvc-vector,1.41,248.8
load,vvc-vector,0.12,243.5
load,vvc-vector,0.12,243.5
load,vvc-vector,0.12,243.5
load,vvc-vector,0.11,243.5
load,vvc-vector,0.11,243.5
load,vvc-vector,6.89,241.5
load,vvc-vector,6.89,241.5
load,vvc-vector,5.10,238.5
load,vvc-vector,5.10,238.5
load,vvc-vector,7.59,240.4
load,vvc-vector,7.59,240.4
load,vvc-vector,7.59,240.4
load,vvc-vector,4.75,243.1
load,vvc-vector,4.75,243.1
load,vvc-vector,8.48,252.5
load,vvc-vector,8.48,252.5
load,vvc-vector,5.25,245.5
load,vvc-vector,5.25,245.5
load,vvc-vector,6.97,253.4
load,vvc-vector,6.97,253.4
load,vvc-vector,6.97,253.4
load,vvc-vector,4.12,257.7
load,vvc-vector,4.12,257.7
load,vvc-vector,6.39,258.6
load,vvc-vector,6.39,258.6
load,vvc-vector,5.03,256.3
load,vvc-vector,5.03,256.3
load,vvc-vector,7.86,255.2
load,vvc-vector,7.86,255.2
load,vvc-vector,7.86,255.2
load,vvc-vector,4.07,252
load,vvc-vector,4.07,252
load,vvc-vector,6.55,255.9
load,vvc-vector,6.55,255.9
load,vvc-vector,4.19,256.8
load,vvc-vector,4.19,256.8
load,vvc-vector,6.58,262.2
load,vvc-vector,6.58,262.2
load,vvc-vector,4.32,262.1
load,vvc-vector,4.32,262.1
load,vvc-vector,4.32,262.1
load,vvc-vector,6.46,261
load,vvc-vector,6.46,261
load,vvc-vector,4.53,264.1
load,vvc-vector,4.53,264.1
load,vvc-vector,7.12,262.8
load,vvc-vector,7.12,262.8
load,vvc-vector,4.45,249.8
load,vvc-vector,4.45,249.8
load,vvc-vector,6.90,258
load,vvc-vector,6.90,258
load,vvc-vector,6.90,258
load,vvc-vector,4.05,255.3
load,vvc-vector,4.05,255.3
load,vvc-vector,7.22,259.2
load,vvc-vector,7.22,259.2
load,vvc-vector,6.05,255.6
load,vvc-vector,6.05,255.6
load,vvc-vector,11.61,248.1
load,vvc-vector,11.61,248.1
load,vvc-vector,6.38,248.3
load,vvc-vector,6.38,248.3
load,vvc-vector,6.38,248.3
load,vvc-vector,9.01,251.8
load,vvc-vector,9.01,251.8
load,vvc-vector,4.87,252.3
load,vvc-vector,4.87,252.3
load,vvc-vector,6.80,248.7
load,vvc-vector,6.80,248.7
load,vvc-vector,5.70,249.7
load,vvc-vector,5.70,249.7
load,vvc-vector,5.70,249.7
load,vvc-vector,9.07,253.9
load,vvc-vector,9.07,253.9
load,vvc-vector,4.03,253.4
load,vvc-vector,4.03,253.4
load,vvc-vector,6.49,252.7
