phase,container,cpu_pct,mem_mb
idle,vvc-otelcol,0.00,44.23
idle,vvc-otelcol,0.00,44.23
idle,vvc-otelcol,0.42,44.01
idle,vvc-otelcol,0.42,44.01
idle,vvc-otelcol,0.37,44.13
idle,vvc-otelcol,0.37,44.13
idle,vvc-otelcol,0.54,44.25
idle,vvc-otelcol,0.54,44.25
idle,vvc-otelcol,0.45,44
idle,vvc-otelcol,0.45,44
idle,vvc-otelcol,0.45,44
idle,vvc-otelcol,0.39,43.8
idle,vvc-otelcol,0.39,43.8
idle,vvc-otelcol,0.38,43.8
idle,vvc-otelcol,0.38,43.8
idle,vvc-otelcol,0.40,43.8
idle,vvc-otelcol,0.40,43.8
idle,vvc-otelcol,0.61,43.93
idle,vvc-otelcol,0.61,43.93
load,vvc-otelcol,0.00,43.93
load,vvc-otelcol,0.00,43.93
load,vvc-otelcol,0.42,43.93
load,vvc-otelcol,0.42,43.93
load,vvc-otelcol,0.44,44.07
load,vvc-otelcol,0.44,44.07
load,vvc-otelcol,0.61,43.82
load,vvc-otelcol,0.61,43.82
load,vvc-otelcol,5.25,44.98
load,vvc-otelcol,5.25,44.98
load,vvc-otelcol,5.25,44.98
load,vvc-otelcol,57.45,104.3
load,vvc-otelcol,57.45,104.3
load,vvc-otelcol,70.26,104.8
load,vvc-otelcol,70.26,104.8
load,vvc-otelcol,11.26,103.5
load,vvc-otelcol,11.26,103.5
load,vvc-otelcol,0.80,103.1
load,vvc-otelcol,0.80,103.1
load,vvc-otelcol,69.97,109
load,vvc-otelcol,69.97,109
load,vvc-otelcol,72.83,109.3
load,vvc-otelcol,72.83,109.3
load,vvc-otelcol,12.22,109.3
load,vvc-otelcol,12.22,109.3
load,vvc-otelcol,12.22,109.3
load,vvc-otelcol,4.72,108.8
load,vvc-otelcol,4.72,108.8
load,vvc-otelcol,62.47,114.1
load,vvc-otelcol,62.47,114.1
load,vvc-otelcol,69.63,111.2
load,vvc-otelcol,69.63,111.2
load,vvc-otelcol,6.51,110.8
load,vvc-otelcol,6.51,110.8
load,vvc-otelcol,0.80,110.4
load,vvc-otelcol,0.80,110.4
load,vvc-otelcol,61.81,114.6
load,vvc-otelcol,61.81,114.6
load,vvc-otelcol,61.81,114.6
load,vvc-otelcol,72.04,120.1
load,vvc-otelcol,72.04,120.1
load,vvc-otelcol,5.89,118.4
load,vvc-otelcol,5.89,118.4
load,vvc-otelcol,0.50,118
load,vvc-otelcol,0.50,118
load,vvc-otelcol,0.50,118
load,vvc-otelcol,61.36,119.8
load,vvc-otelcol,61.36,119.8
load,vvc-otelcol,74.14,118.4
load,vvc-otelcol,74.14,118.4
load,vvc-otelcol,13.63,116.5
load,vvc-otelcol,13.63,116.5
load,vvc-otelcol,0.53,116.2
load,vvc-otelcol,0.53,116.2
load,vvc-otelcol,0.53,116.2
load,vvc-otelcol,56.33,123.7
load,vvc-otelcol,56.33,123.7
load,vvc-otelcol,71.01,123.3
load,vvc-otelcol,71.01,123.3
load,vvc-otelcol,17.36,118.3
load,vvc-otelcol,17.36,118.3
load,vvc-otelcol,0.88,118.3
load,vvc-otelcol,0.88,118.3
load,vvc-otelcol,0.88,118.3
load,vvc-otelcol,40.89,131.3
load,vvc-otelcol,40.89,131.3
load,vvc-otelcol,73.16,130.8
load,vvc-otelcol,73.16,130.8
load,vvc-otelcol,41.94,121.5
load,vvc-otelcol,41.94,121.5
load,vvc-otelcol,0.71,121.9
load,vvc-otelcol,0.71,121.9
load,vvc-otelcol,0.71,121.9
load,vvc-otelcol,41.33,125.8
load,vvc-otelcol,41.33,125.8
load,vvc-otelcol,82.38,130.2
load,vvc-otelcol,82.38,130.2
load,vvc-otelcol,23.20,128.1
load,vvc-otelcol,23.20,128.1
load,vvc-otelcol,0.69,127.9
load,vvc-otelcol,0.69,127.9
load,vvc-otelcol,0.69,127.9
load,vvc-otelcol,26.94,129
load,vvc-otelcol,26.94,129
load,vvc-otelcol,74.85,133.8
load,vvc-otelcol,74.85,133.8
load,vvc-otelcol,55.65,128.9
load,vvc-otelcol,55.65,128.9
load,vvc-otelcol,0.82,128
load,vvc-otelcol,0.82,128
load,vvc-otelcol,0.82,128
load,vvc-otelcol,20.66,128.8
load,vvc-otelcol,20.66,128.8
load,vvc-otelcol,61.61,133.5
load,vvc-otelcol,61.61,133.5
load,vvc-otelcol,59.82,134
load,vvc-otelcol,59.82,134
load,vvc-otelcol,49.96,126.5
load,vvc-otelcol,49.96,126.5
load,vvc-otelcol,29.07,126.7
load,vvc-otelcol,29.07,126.7
load,vvc-otelcol,29.07,126.7
load,vvc-otelcol,76.71,132.5
load,vvc-otelcol,76.71,132.5
load,vvc-otelcol,63.36,131
load,vvc-otelcol,63.36,131
load,vvc-otelcol,10.88,128.4
load,vvc-otelcol,10.88,128.4
load,vvc-otelcol,21.25,128.1
load,vvc-otelcol,21.25,128.1
load,vvc-otelcol,61.63,136.8
load,vvc-otelcol,61.63,136.8
load,vvc-otelcol,61.63,136.8
load,vvc-otelcol,56.40,128.2
load,vvc-otelcol,56.40,128.2
load,vvc-otelcol,11.75,129.1
load,vvc-otelcol,11.75,129.1
load,vvc-otelcol,22.87,127.6
load,vvc-otelcol,22.87,127.6
