phase,container,cpu_pct,mem_mb
idle,vvc-otelcol,0.00,41.96
idle,vvc-otelcol,0.00,41.96
idle,vvc-otelcol,0.48,42.08
idle,vvc-otelcol,0.48,42.08
idle,vvc-otelcol,0.37,42.09
idle,vvc-otelcol,0.37,42.09
idle,vvc-otelcol,0.40,41.96
idle,vvc-otelcol,0.40,41.96
idle,vvc-otelcol,0.92,41.98
idle,vvc-otelcol,0.92,41.98
idle,vvc-otelcol,0.39,41.98
idle,vvc-otelcol,0.39,41.98
idle,vvc-otelcol,0.39,41.98
idle,vvc-otelcol,0.39,41.98
idle,vvc-otelcol,0.39,41.98
idle,vvc-otelcol,0.39,41.98
idle,vvc-otelcol,0.39,41.98
load,vvc-otelcol,0.00,44.12
load,vvc-otelcol,0.00,44.12
load,vvc-otelcol,0.39,44.13
load,vvc-otelcol,0.39,44.13
load,vvc-otelcol,0.40,44.25
load,vvc-otelcol,0.40,44.25
load,vvc-otelcol,0.56,44.5
load,vvc-otelcol,0.56,44.5
load,vvc-otelcol,69.11,98.6
load,vvc-otelcol,69.11,98.6
load,vvc-otelcol,69.11,98.6
load,vvc-otelcol,86.37,99.06
load,vvc-otelcol,86.37,99.06
load,vvc-otelcol,0.73,98.41
load,vvc-otelcol,0.73,98.41
load,vvc-otelcol,0.51,97.93
load,vvc-otelcol,0.51,97.93
load,vvc-otelcol,82.98,107.4
load,vvc-otelcol,82.98,107.4
load,vvc-otelcol,82.98,107.4
load,vvc-otelcol,55.29,101.7
load,vvc-otelcol,55.29,101.7
load,vvc-otelcol,0.63,101.8
load,vvc-otelcol,0.63,101.8
load,vvc-otelcol,0.50,101.8
load,vvc-otelcol,0.50,101.8
load,vvc-otelcol,63.12,109
load,vvc-otelcol,63.12,109
load,vvc-otelcol,80.14,102.3
load,vvc-otelcol,80.14,102.3
load,vvc-otelcol,80.14,102.3
load,vvc-otelcol,0.57,101.8
load,vvc-otelcol,0.57,101.8
load,vvc-otelcol,0.57,102
load,vvc-otelcol,0.57,102
load,vvc-otelcol,59.76,109.9
load,vvc-otelcol,59.76,109.9
load,vvc-otelcol,78.55,106.2
load,vvc-otelcol,78.55,106.2
load,vvc-otelcol,78.55,106.2
load,vvc-otelcol,6.76,106.3
load,vvc-otelcol,6.76,106.3
load,vvc-otelcol,0.55,106
load,vvc-otelcol,0.55,106
load,vvc-otelcol,49.10,114.8
load,vvc-otelcol,49.10,114.8
load,vvc-otelcol,87.44,109.9
load,vvc-otelcol,87.44,109.9
load,vvc-otelcol,1.36,110.2
load,vvc-otelcol,1.36,110.2
load,vvc-otelcol,0.64,109.1
load,vvc-otelcol,0.64,109.1
load,vvc-otelcol,0.64,109.1
load,vvc-otelcol,33.64,115.5
load,vvc-otelcol,33.64,115.5
load,vvc-otelcol,93.76,116.5
load,vvc-otelcol,93.76,116.5
load,vvc-otelcol,18.20,110.1
load,vvc-otelcol,18.20,110.1
load,vvc-otelcol,0.52,110.2
load,vvc-otelcol,0.52,110.2
load,vvc-otelcol,0.52,110.2
load,vvc-otelcol,32.37,111.6
load,vvc-otelcol,32.37,111.6
load,vvc-otelcol,88.10,112.3
load,vvc-otelcol,88.10,112.3
load,vvc-otelcol,22.70,109.5
load,vvc-otelcol,22.70,109.5
load,vvc-otelcol,0.56,109.6
load,vvc-otelcol,0.56,109.6
load,vvc-otelcol,22.88,110
load,vvc-otelcol,22.88,110
load,vvc-otelcol,22.88,110
load,vvc-otelcol,97.24,108.3
load,vvc-otelcol,97.24,108.3
load,vvc-otelcol,17.22,112.6
load,vvc-otelcol,17.22,112.6
load,vvc-otelcol,0.53,112.7
load,vvc-otelcol,0.53,112.7
load,vvc-otelcol,16.91,113
load,vvc-otelcol,16.91,113
load,vvc-otelcol,16.91,113
load,vvc-otelcol,93.30,117.5
load,vvc-otelcol,93.30,117.5
load,vvc-otelcol,36.81,114.6
load,vvc-otelcol,36.81,114.6
load,vvc-otelcol,0.62,114.6
load,vvc-otelcol,0.62,114.6
load,vvc-otelcol,17.48,115.4
load,vvc-otelcol,17.48,115.4
load,vvc-otelcol,17.48,115.4
load,vvc-otelcol,75.87,118.4
load,vvc-otelcol,75.87,118.4
load,vvc-otelcol,48.66,111.6
load,vvc-otelcol,48.66,111.6
load,vvc-otelcol,0.73,111.8
load,vvc-otelcol,0.73,111.8
load,vvc-otelcol,11.34,109.7
load,vvc-otelcol,11.34,109.7
load,vvc-otelcol,83.41,115.9
load,vvc-otelcol,83.41,115.9
load,vvc-otelcol,83.41,115.9
load,vvc-otelcol,52.33,111.4
load,vvc-otelcol,52.33,111.4
load,vvc-otelcol,0.75,111.3
load,vvc-otelcol,0.75,111.3
load,vvc-otelcol,13.10,111.4
load,vvc-otelcol,13.10,111.4
load,vvc-otelcol,75.80,120.9
load,vvc-otelcol,75.80,120.9
load,vvc-otelcol,57.66,117.2
load,vvc-otelcol,57.66,117.2
load,vvc-otelcol,57.66,117.2
load,vvc-otelcol,0.64,117
load,vvc-otelcol,0.64,117
load,vvc-otelcol,5.83,117.1
load,vvc-otelcol,5.83,117.1
