bandwidth_mbit,encoding,wire_bytes,total_ms,reps
500,identity,36493651,584.776,5
500,gzip,5118551,203.430,5
500,zstd,5079316,116.279,5
1000,identity,36493651,292.865,5
1000,gzip,5118551,218.348,5
1000,zstd,5079316,121.432,5
1500,identity,36493651,194.969,5
1500,gzip,5118551,202.353,5
1500,zstd,5079316,120.078,5
2000,identity,36493651,146.427,5
2000,gzip,5118551,225.851,5
2000,zstd,5079316,133.724,5
2500,identity,36493651,117.780,5
2500,gzip,5118551,288.886,5
2500,zstd,5079316,149.761,5
3000,identity,36493651,98.075,5
3000,gzip,5118551,219.167,5
3000,zstd,5079316,139.548,5
3500,identity,36493651,84.417,5
3500,gzip,5118551,279.679,5
3500,zstd,5079316,151.916,5
5000,identity,36493651,59.348,5
5000,gzip,5118551,244.531,5
5000,zstd,5079316,140.131,5
