go version go1.21.13 linux/amd64
BenchmarkRSA2048Sign-16        	     543	   2189057 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     100	  12435477 ns/op	   66816 B/op	      93 allocs/op
BenchmarkRSA2048Verify-16      	    8632	    136196 ns/op	     848 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1194	    995132 ns/op	   94801 B/op	     152 allocs/op
BenchmarkRSA2048Encrypt-16     	    7125	    145824 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1120	   1032623 ns/op	   95313 B/op	     153 allocs/op
BenchmarkECDSAP256Sign-16      	   48352	     23966 ns/op	    2440 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   17474	     75554 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1525503	       778.0 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     807	   1565250 ns/op	    1744 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     853	   1312750 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     142	   7325788 ns/op	   66817 B/op	      93 allocs/op
BenchmarkRSA2048Verify-16      	    9511	    134121 ns/op	     848 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1167	    991445 ns/op	   94801 B/op	     152 allocs/op
BenchmarkRSA2048Encrypt-16     	    7740	    136097 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1246	   1013691 ns/op	   95313 B/op	     153 allocs/op
BenchmarkECDSAP256Sign-16      	   53302	     23454 ns/op	    2440 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   18076	     67284 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1576696	       773.9 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     835	   1366582 ns/op	    1744 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     936	   1394773 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     160	   7303974 ns/op	   66816 B/op	      93 allocs/op
BenchmarkRSA2048Verify-16      	    9332	    135997 ns/op	     848 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1177	   1019525 ns/op	   94801 B/op	     152 allocs/op
BenchmarkRSA2048Encrypt-16     	    8895	    143297 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1095	   1004537 ns/op	   95313 B/op	     153 allocs/op
BenchmarkECDSAP256Sign-16      	   50530	     23432 ns/op	    2440 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   17419	     69281 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1549432	       789.8 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     868	   1402546 ns/op	    1744 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     752	   1447640 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     146	   8196062 ns/op	   66817 B/op	      93 allocs/op
BenchmarkRSA2048Verify-16      	    9048	    144331 ns/op	     848 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1144	   1053857 ns/op	   94801 B/op	     152 allocs/op
BenchmarkRSA2048Encrypt-16     	    7257	    174817 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	     889	   1291505 ns/op	   95313 B/op	     153 allocs/op
BenchmarkECDSAP256Sign-16      	   38288	     26232 ns/op	    2440 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   16737	     78046 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1499144	       786.8 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     890	   1410416 ns/op	    1744 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     760	   1531358 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     139	   8280292 ns/op	   66816 B/op	      93 allocs/op
BenchmarkRSA2048Verify-16      	    8967	    157631 ns/op	     848 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1040	   1060445 ns/op	   94800 B/op	     152 allocs/op
BenchmarkRSA2048Encrypt-16     	    9072	    142106 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1077	   1046179 ns/op	   95313 B/op	     153 allocs/op
BenchmarkECDSAP256Sign-16      	   46750	     26599 ns/op	    2440 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   14905	     81103 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1374890	       854.2 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     780	   1532599 ns/op	    1744 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     729	   1695218 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     134	  14925375 ns/op	   66816 B/op	      93 allocs/op
BenchmarkRSA2048Verify-16      	    4566	    268504 ns/op	     848 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	     662	   2005111 ns/op	   94800 B/op	     152 allocs/op
BenchmarkRSA2048Encrypt-16     	    4702	    233913 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1096	   1148831 ns/op	   95313 B/op	     153 allocs/op
BenchmarkECDSAP256Sign-16      	   42728	     25326 ns/op	    2440 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   15667	     73100 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1373958	       868.3 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     750	   1665089 ns/op	    1744 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     871	   1322496 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     146	   7561963 ns/op	   66816 B/op	      93 allocs/op
BenchmarkRSA2048Verify-16      	    9333	    153744 ns/op	     848 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1051	    999680 ns/op	   94801 B/op	     152 allocs/op
BenchmarkRSA2048Encrypt-16     	    9612	    141403 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1174	   1017525 ns/op	   95313 B/op	     153 allocs/op
BenchmarkECDSAP256Sign-16      	   48889	     24605 ns/op	    2440 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   16563	     74093 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1477656	       797.0 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     858	   1442104 ns/op	    1744 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     920	   1266835 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     152	   7857558 ns/op	   66816 B/op	      93 allocs/op
BenchmarkRSA2048Verify-16      	    9231	    129559 ns/op	     848 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1237	   1007621 ns/op	   94801 B/op	     152 allocs/op
BenchmarkRSA2048Encrypt-16     	    9090	    137643 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1197	    978159 ns/op	   95313 B/op	     153 allocs/op
BenchmarkECDSAP256Sign-16      	   48142	     23841 ns/op	    2440 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   18326	     67619 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1542825	       803.2 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     788	   1421983 ns/op	    1744 B/op	      11 allocs/op
