go version go1.20.14 linux/amd64
BenchmarkRSA2048Sign-16        	     674	   1728640 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     100	  11240852 ns/op	   17920 B/op	      33 allocs/op
BenchmarkRSA2048Verify-16      	    5449	    238228 ns/op	     912 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1408	    986081 ns/op	   54160 B/op	      98 allocs/op
BenchmarkRSA2048Encrypt-16     	    4768	    255827 ns/op	    1168 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1218	    948417 ns/op	   54673 B/op	      99 allocs/op
BenchmarkECDSAP256Sign-16      	   50658	     24387 ns/op	    2472 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   17120	     69680 ns/op	     480 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	  818517	      1358 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     542	   2129158 ns/op	    1808 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     639	   1756072 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     100	  11996052 ns/op	   17920 B/op	      33 allocs/op
BenchmarkRSA2048Verify-16      	    5282	    256682 ns/op	     912 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1293	    979304 ns/op	   54160 B/op	      98 allocs/op
BenchmarkRSA2048Encrypt-16     	    5384	    232589 ns/op	    1168 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1266	    935961 ns/op	   54673 B/op	      99 allocs/op
BenchmarkECDSAP256Sign-16      	   48793	     24991 ns/op	    2472 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   17058	     68063 ns/op	     480 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	  919993	      1355 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     597	   2026351 ns/op	    1808 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     568	   1811422 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	      99	  12897402 ns/op	   17920 B/op	      33 allocs/op
BenchmarkRSA2048Verify-16      	    5130	    247708 ns/op	     912 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1213	   1166731 ns/op	   54160 B/op	      98 allocs/op
BenchmarkRSA2048Encrypt-16     	    3855	    312859 ns/op	    1168 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	     782	   1466435 ns/op	   54673 B/op	      99 allocs/op
BenchmarkECDSAP256Sign-16      	   41410	     26930 ns/op	    2472 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   15966	     79049 ns/op	     480 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	  715178	      1640 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     518	   2252362 ns/op	    1808 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     567	   1974086 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     100	  12901790 ns/op	   17920 B/op	      33 allocs/op
BenchmarkRSA2048Verify-16      	    4754	    243033 ns/op	     912 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1286	    927683 ns/op	   54160 B/op	      98 allocs/op
BenchmarkRSA2048Encrypt-16     	    5276	    260720 ns/op	    1168 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1179	   1023112 ns/op	   54673 B/op	      99 allocs/op
BenchmarkECDSAP256Sign-16      	   48572	     24062 ns/op	    2472 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   17529	     71685 ns/op	     480 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	  844386	      1404 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     603	   2118360 ns/op	    1808 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     344	   3588173 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	      42	  24817811 ns/op	   17920 B/op	      33 allocs/op
BenchmarkRSA2048Verify-16      	    2702	    423635 ns/op	     912 B/op	       6 allocs/op
BenchmarkRSA4096Verify-16      	    1069	   1165539 ns/op	   54160 B/op	      98 allocs/op
BenchmarkRSA2048Encrypt-16     	    3916	    261392 ns/op	    1168 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    1146	   1091679 ns/op	   54673 B/op	      99 allocs/op
BenchmarkECDSAP256Sign-16      	   46873	     25354 ns/op	    2472 B/op	      33 allocs/op
BenchmarkECDSAP256Verify-16    	   16520	     74971 ns/op	     480 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	  757560	      1399 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     580	   2191872 ns/op	    1808 B/op	      11 allocs/op
