go version go1.23.12 linux/amd64
BenchmarkRSA4096Encrypt-16     	    2305	    470889 ns/op	   61521 B/op	      98 allocs/op
BenchmarkECDSAP256Sign-16      	   53262	     23975 ns/op	    2376 B/op	      30 allocs/op
BenchmarkECDSAP256Verify-16    	   17714	     69162 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1536487	       781.3 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     922	   1304132 ns/op	    2000 B/op	      12 allocs/op
BenchmarkRSA2048Sign-16        	     949	   1298307 ns/op	     896 B/op	       5 allocs/op
BenchmarkRSA4096Sign-16        	     165	   7044455 ns/op	   38656 B/op	      56 allocs/op
BenchmarkRSA2048Verify-16      	   33571	     38676 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Verify-16      	    2476	    531779 ns/op	   61520 B/op	      98 allocs/op
BenchmarkRSA2048Encrypt-16     	   24567	     44009 ns/op	    1104 B/op	       7 allocs/op
BenchmarkRSA4096Encrypt-16     	    2341	    480293 ns/op	   61520 B/op	      98 allocs/op
BenchmarkECDSAP256Sign-16      	   51252	     23840 ns/op	    2376 B/op	      30 allocs/op
BenchmarkECDSAP256Verify-16    	   17216	     68550 ns/op	     432 B/op	       8 allocs/op
BenchmarkHMACSHA256-16         	 1484956	       785.1 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     919	   1302342 ns/op	    2000 B/op	      12 allocs/op
