go version go1.26.4 linux/amd64
BenchmarkRSA2048Sign-16        	     969	   1317553 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     156	   7298304 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   33412	     37147 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    2010	    538595 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   31160	     39276 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    2185	    536209 ns/op	   62560 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   33994	     33588 ns/op	    6064 B/op	      59 allocs/op
BenchmarkECDSAP256Verify-16    	   17041	     69269 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1466308	       815.9 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     826	   1333707 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     962	   1310660 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     163	   7086393 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   34363	     34756 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    2216	    518151 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   30969	     39723 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    2137	    549735 ns/op	   62560 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   35695	     33485 ns/op	    6064 B/op	      59 allocs/op
BenchmarkECDSAP256Verify-16    	   14245	     70255 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1492521	       842.3 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     940	   1354340 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     861	   1288672 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     158	   7341868 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   29200	     40576 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    1995	    531314 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   32091	     37626 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    2184	    519140 ns/op	   62560 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   36507	     32754 ns/op	    6064 B/op	      59 allocs/op
BenchmarkECDSAP256Verify-16    	   16761	     68477 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1474905	       793.0 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     900	   1378825 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     724	   1553392 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     140	   8750351 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   28574	     47503 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    1826	    637904 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   24962	     48145 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    1945	    561956 ns/op	   62560 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   30128	     37529 ns/op	    6064 B/op	      59 allocs/op
BenchmarkECDSAP256Verify-16    	   15878	     77528 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1369296	       888.0 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     859	   1393386 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     880	   1569796 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     151	   8068905 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   28058	     42306 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    1792	    589686 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   29268	     45910 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    2124	    544822 ns/op	   62560 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   35649	     41825 ns/op	    6064 B/op	      59 allocs/op
BenchmarkECDSAP256Verify-16    	   14425	     82205 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1282359	       922.2 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     918	   1400122 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     884	   1341122 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     132	   7779826 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   31707	     37279 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    2054	    542138 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   30135	     50955 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    1267	    867206 ns/op	   62560 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   15813	     63947 ns/op	    6064 B/op	      59 allocs/op
BenchmarkECDSAP256Verify-16    	   10000	    129681 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	  955275	      1227 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     453	   2423327 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     554	   2521194 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     100	  11506390 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   31272	     36666 ns/op	    1376 B/op	       9 allocs/op
