go version go1.19.13 linux/amd64
BenchmarkRSA4096Encrypt-16     	    8494	    143323 ns/op	   14489 B/op	      11 allocs/op
BenchmarkECDSAP256Sign-16      	   47652	     27830 ns/op	    3138 B/op	      45 allocs/op
BenchmarkECDSAP256Verify-16    	   10000	    123652 ns/op	    1376 B/op	      23 allocs/op
BenchmarkHMACSHA256-16         	  482338	      2346 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     806	   1439007 ns/op	   35355 B/op	     118 allocs/op
BenchmarkRSA2048Sign-16        	     870	   1419139 ns/op	   30414 B/op	     108 allocs/op
BenchmarkRSA4096Sign-16        	     153	   7695574 ns/op	   76032 B/op	     122 allocs/op
BenchmarkRSA2048Verify-16      	   26410	     48437 ns/op	    4939 B/op	      10 allocs/op
BenchmarkRSA4096Verify-16      	    7947	    138316 ns/op	   14486 B/op	      11 allocs/op
BenchmarkRSA2048Encrypt-16     	   25603	     49739 ns/op	    4943 B/op	      10 allocs/op
BenchmarkRSA4096Encrypt-16     	    7299	    138796 ns/op	   14491 B/op	      11 allocs/op
BenchmarkECDSAP256Sign-16      	   50886	     25691 ns/op	    3138 B/op	      45 allocs/op
BenchmarkECDSAP256Verify-16    	   15673	     77392 ns/op	    1392 B/op	      23 allocs/op
BenchmarkHMACSHA256-16         	  583844	      1766 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     691	   1940783 ns/op	   35352 B/op	     118 allocs/op
