go version go1.25.12 linux/amd64
BenchmarkRSA2048Sign-16        	     955	   1275391 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     165	   7050428 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   31474	     35509 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    2569	    464594 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   32239	     36256 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    2614	    467698 ns/op	   62561 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   34978	     33561 ns/op	    6096 B/op	      60 allocs/op
BenchmarkECDSAP256Verify-16    	   17654	     72171 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1532116	       806.8 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     957	   1306478 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     967	   1218369 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     166	   7332391 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   34435	     34958 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    2580	    451494 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   32853	     37401 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    2415	    468221 ns/op	   62560 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   35830	     33383 ns/op	    6096 B/op	      60 allocs/op
BenchmarkECDSAP256Verify-16    	   16912	     69520 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1516453	       815.3 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     934	   1279259 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     866	   1224613 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     174	   7115113 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   35580	     34234 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    2289	    475610 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   31436	     40566 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    2360	    469650 ns/op	   62561 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   36351	     32721 ns/op	    6096 B/op	      60 allocs/op
BenchmarkECDSAP256Verify-16    	   17271	     67390 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1542052	       786.3 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     940	   1292853 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     883	   1330389 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     159	   7905822 ns/op	   37922 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   27736	     39956 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    1891	    745820 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   31767	     41120 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    2493	    468090 ns/op	   62561 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   33001	     35122 ns/op	    6096 B/op	      60 allocs/op
BenchmarkECDSAP256Verify-16    	   17124	     90155 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1129164	      1076 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     855	   1350292 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     985	   1222577 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     144	   7628469 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   34248	     36525 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    2167	    478939 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   25846	     41096 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    2269	    515905 ns/op	   62561 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   25801	     43601 ns/op	    6096 B/op	      60 allocs/op
BenchmarkECDSAP256Verify-16    	   14791	     86912 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1271934	       892.4 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     805	   1416662 ns/op	    1888 B/op	      11 allocs/op
BenchmarkRSA2048Sign-16        	     958	   1224835 ns/op	     512 B/op	       2 allocs/op
BenchmarkRSA4096Sign-16        	     162	   7278569 ns/op	   37888 B/op	      53 allocs/op
BenchmarkRSA2048Verify-16      	   33666	     36191 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Verify-16      	    2654	    464947 ns/op	   62560 B/op	     101 allocs/op
BenchmarkRSA2048Encrypt-16     	   30283	     38230 ns/op	    1376 B/op	       9 allocs/op
BenchmarkRSA4096Encrypt-16     	    2422	    464184 ns/op	   62561 B/op	     101 allocs/op
BenchmarkECDSAP256Sign-16      	   31801	     33282 ns/op	    6096 B/op	      60 allocs/op
BenchmarkECDSAP256Verify-16    	   17706	     68990 ns/op	     576 B/op	      10 allocs/op
BenchmarkHMACSHA256-16         	 1528512	       828.8 ns/op	     512 B/op	       6 allocs/op
BenchmarkRS256Roundtrip-16     	     836	   1364919 ns/op	    1888 B/op	      11 allocs/op
