phase,container,cpu_pct,mem_mb
idle,vp-agent,0.00,158.2
idle,vp-agg,0.00,134.3
idle,vp-agent,0.00,158.2
idle,vp-agg,0.00,134.3
idle,vp-agent,0.46,160.4
idle,vp-agg,0.27,136.5
idle,vp-agent,0.46,160.4
idle,vp-agg,0.27,136.5
idle,vp-agent,0.11,160.8
idle,vp-agg,0.08,136.5
idle,vp-agent,0.11,160.8
idle,vp-agg,0.08,136.5
idle,vp-agent,0.15,165
idle,vp-agg,0.26,136.8
idle,vp-agent,0.15,165
idle,vp-agg,0.26,136.8
idle,vp-agent,0.11,165.2
idle,vp-agg,0.07,136.8
idle,vp-agent,0.11,165.2
idle,vp-agg,0.07,136.8
idle,vp-agent,0.13,165
idle,vp-agg,0.10,136.6
idle,vp-agent,0.13,165
idle,vp-agg,0.10,136.6
idle,vp-agent,0.13,165
idle,vp-agg,0.10,136.6
idle,vp-agent,0.43,167.7
idle,vp-agg,0.08,136.6
idle,vp-agent,0.43,167.7
idle,vp-agg,0.08,136.6
idle,vp-agent,0.15,167.9
idle,vp-agg,0.13,136.7
idle,vp-agent,0.15,167.9
idle,vp-agg,0.13,136.7
idle,vp-agent,0.13,167.8
idle,vp-agg,0.34,138.9
load,vp-agent,0.00,168.4
load,vp-agg,0.00,138.6
load,vp-agent,0.00,168.4
load,vp-agg,0.00,138.6
load,vp-agent,0.23,168.4
load,vp-agg,0.08,138.6
load,vp-agent,0.23,168.4
load,vp-agg,0.08,138.6
load,vp-agent,0.11,168.6
load,vp-agg,0.06,138.6
load,vp-agent,0.11,168.6
load,vp-agg,0.06,138.6
load,vp-agent,0.22,168.9
load,vp-agg,0.27,138.8
load,vp-agent,0.22,168.9
load,vp-agg,0.27,138.8
load,vp-agent,0.11,168.7
load,vp-agg,0.07,138.7
load,vp-agent,0.11,168.7
load,vp-agg,0.07,138.7
load,vp-agent,0.49,168.8
load,vp-agg,0.08,138.7
load,vp-agent,0.49,168.8
load,vp-agg,0.08,138.7
load,vp-agent,0.10,168.5
load,vp-agg,0.08,138.8
load,vp-agent,0.10,168.5
load,vp-agg,0.08,138.8
load,vp-agent,0.23,168.1
load,vp-agg,0.11,138.8
load,vp-agent,0.23,168.1
load,vp-agg,0.11,138.8
load,vp-agent,0.23,168.1
load,vp-agg,0.11,138.8
load,vp-agent,0.12,168
load,vp-agg,0.39,141.2
load,vp-agent,0.12,168
load,vp-agg,0.39,141.2
load,vp-agent,0.24,168.3
load,vp-agg,0.11,141.3
load,vp-agent,0.24,168.3
load,vp-agg,0.11,141.3
load,vp-agent,0.29,168.5
load,vp-agg,0.07,141.2
load,vp-agent,0.29,168.5
load,vp-agg,0.07,141.2
load,vp-agent,0.21,168.5
load,vp-agg,0.09,141.2
load,vp-agent,0.21,168.5
load,vp-agg,0.09,141.2
load,vp-agent,0.21,168.5
load,vp-agg,0.09,141.2
load,vp-agent,0.10,168.4
load,vp-agg,0.29,141.9
load,vp-agent,0.10,168.4
load,vp-agg,0.29,141.9
load,vp-agent,0.21,168.4
load,vp-agg,0.09,141.8
load,vp-agent,0.21,168.4
load,vp-agg,0.09,141.8
load,vp-agent,0.11,167.9
load,vp-agg,0.07,141.8
load,vp-agent,0.11,167.9
load,vp-agg,0.07,141.8
load,vp-agent,0.44,169
load,vp-agg,0.10,141.8
load,vp-agent,0.44,169
load,vp-agg,0.10,141.8
load,vp-agent,0.10,168.4
load,vp-agg,0.06,141.8
load,vp-agent,0.10,168.4
load,vp-agg,0.06,141.8
load,vp-agent,0.40,168.6
load,vp-agg,0.27,142.3
load,vp-agent,0.40,168.6
load,vp-agg,0.27,142.3
load,vp-agent,0.12,168.5
load,vp-agg,0.09,142.3
load,vp-agent,0.12,168.5
load,vp-agg,0.09,142.3
load,vp-agent,0.12,168.5
load,vp-agg,0.09,142.3
load,vp-agent,0.20,168.5
load,vp-agg,0.13,142
load,vp-agent,0.20,168.5
load,vp-agg,0.13,142
load,vp-agent,0.32,168.4
load,vp-agg,0.08,142
load,vp-agent,0.32,168.4
load,vp-agg,0.08,142
load,vp-agent,104.15,242.1
load,vp-agg,103.52,201.6
load,vp-agent,104.15,242.1
load,vp-agg,103.52,201.6
load,vp-agent,43.72,242
load,vp-agg,67.81,211.6
load,vp-agent,43.72,242
load,vp-agg,67.81,211.6
load,vp-agent,0.38,244.1
load,vp-agg,6.02,219.8
load,vp-agent,0.38,244.1
load,vp-agg,6.02,219.8
load,vp-agent,0.12,244.4
load,vp-agg,0.10,219.8
load,vp-agent,0.12,244.4
load,vp-agg,0.10,219.8
load,vp-agent,0.48,245.1
load,vp-agg,0.78,218.9
load,vp-agent,0.48,245.1
load,vp-agg,0.78,218.9
load,vp-agent,0.14,245.4
load,vp-agg,0.13,218.9
load,vp-agent,0.14,245.4
load,vp-agg,0.13,218.9
load,vp-agent,0.14,245.4
load,vp-agg,0.13,218.9
load,vp-agent,0.26,244.3
load,vp-agg,0.36,218.3
load,vp-agent,0.26,244.3
load,vp-agg,0.36,218.3
load,vp-agent,0.14,243.3
load,vp-agg,0.12,218.1
load,vp-agent,0.14,243.3
load,vp-agg,0.12,218.1
load,vp-agent,0.49,244.5
load,vp-agg,0.10,217.6
load,vp-agent,0.49,244.5
load,vp-agg,0.10,217.6
load,vp-agent,0.12,244.4
load,vp-agg,0.10,217.6
load,vp-agent,0.12,244.4
load,vp-agg,0.10,217.6
load,vp-agent,0.23,244.4
load,vp-agg,0.10,217.7
load,vp-agent,0.23,244.4
load,vp-agg,0.10,217.7
load,vp-agent,0.23,244.4
load,vp-agg,0.10,217.7
load,vp-agent,0.12,244.5
load,vp-agg,0.34,218.7
load,vp-agent,0.12,244.5
load,vp-agg,0.34,218.7
load,vp-agent,0.26,244.2
load,vp-agg,0.23,213.2
load,vp-agent,0.26,244.2
load,vp-agg,0.23,213.2
load,vp-agent,0.42,245
load,vp-agg,0.13,213.1
load,vp-agent,0.42,245
load,vp-agg,0.13,213.1
load,vp-agent,0.23,245.1
load,vp-agg,0.10,211.9
load,vp-agent,0.23,245.1
load,vp-agg,0.10,211.9
load,vp-agent,0.13,245
load,vp-agg,0.15,211.9
load,vp-agent,0.13,245
load,vp-agg,0.15,211.9
load,vp-agent,0.24,244.5
load,vp-agg,0.34,212.1
load,vp-agent,0.24,244.5
load,vp-agg,0.34,212.1
load,vp-agent,0.24,244.5
load,vp-agg,0.34,212.1
load,vp-agent,0.11,244.5
load,vp-agg,0.11,211.7
load,vp-agent,0.11,244.5
load,vp-agg,0.11,211.7
load,vp-agent,0.60,244.5
load,vp-agg,0.09,211.4
load,vp-agent,0.60,244.5
load,vp-agg,0.09,211.4
load,vp-agent,0.12,243.7
load,vp-agg,0.11,211.4
load,vp-agent,0.12,243.7
load,vp-agg,0.11,211.4
load,vp-agent,0.24,243.7
load,vp-agg,0.30,212.2
load,vp-agent,0.24,243.7
load,vp-agg,0.30,212.2
load,vp-agent,0.12,243.8
load,vp-agg,0.12,212.1
load,vp-agent,0.12,243.8
load,vp-agg,0.12,212.1
load,vp-agent,0.22,243.9
load,vp-agg,0.10,212.1
