phase,container,cpu_pct,mem_mb
idle,vp-agent,0.00,142.5
idle,vp-agg,0.32,135.7
idle,vp-agent,0.00,142.5
idle,vp-agg,0.32,135.7
idle,vp-agent,0.39,142.8
idle,vp-agg,0.17,135.8
idle,vp-agent,0.39,142.8
idle,vp-agg,0.17,135.8
idle,vp-agent,0.09,142.9
idle,vp-agg,0.08,136
idle,vp-agent,0.09,142.9
idle,vp-agg,0.08,136
idle,vp-agent,0.14,143.1
idle,vp-agg,0.08,135.9
idle,vp-agent,0.14,143.1
idle,vp-agg,0.08,135.9
idle,vp-agent,0.14,143.1
idle,vp-agg,0.08,135.9
idle,vp-agent,0.10,143
idle,vp-agg,0.24,137.9
idle,vp-agent,0.10,143
idle,vp-agg,0.24,137.9
idle,vp-agent,0.15,143.1
idle,vp-agg,0.19,140.2
idle,vp-agent,0.15,143.1
idle,vp-agg,0.19,140.2
idle,vp-agent,0.35,145.3
idle,vp-agg,0.07,140.2
idle,vp-agent,0.35,145.3
idle,vp-agg,0.07,140.2
idle,vp-agent,0.14,145.2
idle,vp-agg,0.12,139.8
idle,vp-agent,0.14,145.2
idle,vp-agg,0.12,139.8
load,vp-agent,0.00,145
load,vp-agg,0.00,140.4
load,vp-agent,0.00,145
load,vp-agg,0.00,140.4
load,vp-agent,104.50,211.5
load,vp-agg,92.00,209.1
load,vp-agent,104.50,211.5
load,vp-agg,92.00,209.1
load,vp-agent,137.23,235.7
load,vp-agg,159.86,231.3
load,vp-agent,137.23,235.7
load,vp-agg,159.86,231.3
load,vp-agent,72.10,256.2
load,vp-agg,142.50,251.9
load,vp-agent,72.10,256.2
load,vp-agg,142.50,251.9
load,vp-agent,86.97,273.6
load,vp-agg,138.89,273.4
load,vp-agent,86.97,273.6
load,vp-agg,138.89,273.4
load,vp-agent,102.24,284.8
load,vp-agg,134.78,269.5
load,vp-agent,102.24,284.8
load,vp-agg,134.78,269.5
load,vp-agent,102.24,284.8
load,vp-agg,134.78,269.5
load,vp-agent,126.94,304.2
load,vp-agg,196.48,269.9
load,vp-agent,126.94,304.2
load,vp-agg,196.48,269.9
load,vp-agent,124.45,314.3
load,vp-agg,188.53,269
load,vp-agent,124.45,314.3
load,vp-agg,188.53,269
load,vp-agent,98.39,314.8
load,vp-agg,125.12,262.7
load,vp-agent,98.39,314.8
load,vp-agg,125.12,262.7
load,vp-agent,77.73,319.2
load,vp-agg,89.47,262.6
load,vp-agent,77.73,319.2
load,vp-agg,89.47,262.6
load,vp-agent,80.21,322.1
load,vp-agg,136.79,264.4
load,vp-agent,80.21,322.1
load,vp-agg,136.79,264.4
load,vp-agent,80.21,322.1
load,vp-agg,136.79,264.4
load,vp-agent,87.20,317.9
load,vp-agg,170.40,274.4
load,vp-agent,87.20,317.9
load,vp-agg,170.40,274.4
load,vp-agent,97.46,325.3
load,vp-agg,140.46,273.9
load,vp-agent,97.46,325.3
load,vp-agg,140.46,273.9
load,vp-agent,114.28,324.1
load,vp-agg,158.18,274.7
load,vp-agent,114.28,324.1
load,vp-agg,158.18,274.7
load,vp-agent,124.64,328.5
load,vp-agg,159.95,273.5
load,vp-agent,124.64,328.5
load,vp-agg,159.95,273.5
load,vp-agent,96.13,334.1
load,vp-agg,142.23,273.6
load,vp-agent,96.13,334.1
load,vp-agg,142.23,273.6
load,vp-agent,114.31,340.9
load,vp-agg,152.97,273.9
load,vp-agent,114.31,340.9
load,vp-agg,152.97,273.9
load,vp-agent,92.29,341.2
load,vp-agg,144.32,276.5
load,vp-agent,92.29,341.2
load,vp-agg,144.32,276.5
load,vp-agent,71.06,332.1
load,vp-agg,85.23,283.5
load,vp-agent,71.06,332.1
load,vp-agg,85.23,283.5
load,vp-agent,71.06,332.1
load,vp-agg,85.23,283.5
load,vp-agent,69.40,321
load,vp-agg,117.99,292.7
load,vp-agent,69.40,321
load,vp-agg,117.99,292.7
load,vp-agent,100.55,321.3
load,vp-agg,164.76,284.2
load,vp-agent,100.55,321.3
load,vp-agg,164.76,284.2
load,vp-agent,100.55,321.3
load,vp-agg,166.71,287.1
load,vp-agent,100.02,329.4
load,vp-agg,166.71,287.1
load,vp-agent,100.02,329.4
load,vp-agg,166.71,287.1
load,vp-agent,98.95,335.2
load,vp-agg,168.55,287.1
load,vp-agent,98.95,335.2
load,vp-agg,168.55,287.1
load,vp-agent,96.72,336.9
load,vp-agg,157.72,286.2
load,vp-agent,96.72,336.9
load,vp-agg,157.72,286.2
load,vp-agent,140.63,347.2
load,vp-agg,219.38,294.8
load,vp-agent,140.63,347.2
load,vp-agg,219.38,294.8
load,vp-agent,92.52,358.3
load,vp-agg,138.36,293.1
load,vp-agent,92.52,358.3
load,vp-agg,138.36,293.1
load,vp-agent,94.90,354.3
load,vp-agg,133.16,297.3
load,vp-agent,94.90,354.3
load,vp-agg,133.16,297.3
load,vp-agent,71.50,345
load,vp-agg,105.25,302.2
load,vp-agent,71.50,345
load,vp-agg,105.25,302.2
load,vp-agent,71.50,345
load,vp-agg,150.62,309.6
load,vp-agent,74.10,346.9
load,vp-agg,150.62,309.6
load,vp-agent,74.10,346.9
load,vp-agg,150.62,309.6
load,vp-agent,86.56,346.4
load,vp-agg,163.64,305.3
load,vp-agent,86.56,346.4
load,vp-agg,163.64,305.3
load,vp-agent,110.10,332.2
load,vp-agg,162.70,295.7
load,vp-agent,110.10,332.2
load,vp-agg,162.70,295.7
load,vp-agent,97.78,336.6
load,vp-agg,159.61,295.5
load,vp-agent,97.78,336.6
load,vp-agg,159.61,295.5
load,vp-agent,84.30,339.5
load,vp-agg,127.66,298.4
load,vp-agent,84.30,339.5
load,vp-agg,127.66,298.4
load,vp-agent,84.30,339.5
load,vp-agg,127.66,298.4
load,vp-agent,121.75,343.9
load,vp-agg,172.64,298.2
load,vp-agent,121.75,343.9
load,vp-agg,172.64,298.2
load,vp-agent,112.67,346.9
load,vp-agg,148.08,296.1
load,vp-agent,112.67,346.9
load,vp-agg,148.08,296.1
load,vp-agent,102.76,340.1
load,vp-agg,132.55,295.5
load,vp-agent,102.76,340.1
load,vp-agg,132.55,295.5
load,vp-agent,91.42,342.2
load,vp-agg,102.43,293.5
load,vp-agent,91.42,342.2
load,vp-agg,102.43,293.5
load,vp-agent,84.67,335.3
load,vp-agg,158.04,304.9
load,vp-agent,84.67,335.3
load,vp-agg,158.04,304.9
load,vp-agent,84.67,335.3
load,vp-agg,158.04,304.9
load,vp-agent,107.46,332.1
load,vp-agg,170.52,305.4
load,vp-agent,107.46,332.1
load,vp-agg,170.52,305.4
load,vp-agent,96.14,340.4
load,vp-agg,128.10,304.6
load,vp-agent,96.14,340.4
load,vp-agg,128.10,304.6
load,vp-agent,117.58,343.3
load,vp-agg,161.20,303.1
load,vp-agent,117.58,343.3
load,vp-agg,161.20,303.1
load,vp-agent,121.18,343
load,vp-agg,193.64,300.9
load,vp-agent,121.18,343
load,vp-agg,193.64,300.9
load,vp-agent,107.62,349.7
load,vp-agg,154.07,302.7
load,vp-agent,107.62,349.7
load,vp-agg,154.07,302.7
load,vp-agent,120.62,349.8
load,vp-agg,198.62,299.4
load,vp-agent,120.62,349.8
load,vp-agg,198.62,299.4
load,vp-agent,108.85,354
load,vp-agg,170.25,301.5
load,vp-agent,108.85,354
load,vp-agg,170.25,301.5
load,vp-agent,75.32,352.4
load,vp-agg,71.66,308.4
load,vp-agent,75.32,352.4
load,vp-agg,71.66,308.4
load,vp-agent,75.32,352.4
load,vp-agg,71.66,308.4
load,vp-agent,79.15,353
load,vp-agg,107.27,310.7
load,vp-agent,79.15,353
load,vp-agg,107.27,310.7
load,vp-agent,104.75,332.2
load,vp-agg,190.06,309
load,vp-agent,104.75,332.2
load,vp-agg,190.06,309
load,vp-agent,100.31,344.9
load,vp-agg,133.83,308.8
load,vp-agent,100.31,344.9
load,vp-agg,133.83,308.8
load,vp-agent,100.31,344.9
load,vp-agg,133.83,308.8
load,vp-agent,138.64,337.7
load,vp-agg,146.95,311.1
load,vp-agent,138.64,337.7
load,vp-agg,146.95,311.1
load,vp-agent,103.43,339.2
load,vp-agg,171.13,312
load,vp-agent,103.43,339.2
load,vp-agg,171.13,312
load,vp-agent,120.54,342.1
load,vp-agg,187.30,309.8
load,vp-agent,120.54,342.1
load,vp-agg,187.30,309.8
load,vp-agent,123.43,335.9
load,vp-agg,179.01,309.4
load,vp-agent,123.43,335.9
load,vp-agg,179.01,309.4
load,vp-agent,95.71,335.4
load,vp-agg,127.38,311.7
load,vp-agent,95.71,335.4
load,vp-agg,127.38,311.7
load,vp-agent,86.88,331.4
load,vp-agg,117.50,313.1
